Date,Service,Cost (USD)
2025-06-24,Amazon Redshift,52.9635392605
2025-06-24,Amazon Relational Database Service,23.3126668662
2025-06-24,Amazon Route 53,0.1990498254
2025-06-24,Amazon Simple Email Service,0.0069056119
2025-06-24,Amazon Simple Notification Service,0.9948253545
2025-06-24,Amazon Simple Queue Service,3.3642507476
2025-06-24,Amazon Simple Storage Service,76.6017784462
2025-06-24,Amazon Simple Workflow Service,1.212e-07
2025-06-24,Amazon Timestream,10.6284266688
2025-06-24,Amazon Virtual Private Cloud,12.6760353625
2025-06-24,AmazonCloudWatch,66.4803051798
2025-06-24,CloudWatch Events,0.04498683
2025-06-25,AWS Backup,0.1566159022
2025-06-25,AWS Config,0.76194
2025-06-25,AWS Cost Explorer,0.0166
2025-06-25,AWS Database Migration Service,2.3894593296
2025-06-25,AWS Glue,9.4525791183
2025-06-25,AWS HealthImaging,3.3214e-05
2025-06-25,AWS Key Management Service,2.356469443
2025-06-25,AWS Lambda,9.0791048146
2025-06-25,AWS Secrets Manager,1.6081154716
2025-06-25,AWS Step Functions,0.4605834327
2025-06-25,AWS Systems Manager,0.0123172
2025-06-25,AWS WAF,0.952583862
2025-06-25,AWS X-Ray,0.80117825
2025-06-25,Amazon API Gateway,0.3624025898
2025-06-25,Amazon Athena,4.2806586
2025-06-25,Amazon CloudFront,0.0015124253
2025-06-25,Amazon DynamoDB,0.8647784748
2025-06-25,Amazon EC2 Container Registry (ECR),4.4147785176
2025-06-25,EC2 - Other,18.8654147652
2025-06-25,Amazon Elastic Compute Cloud - Compute,38.068223693
2025-06-25,Amazon Elastic Container Service,0.0058039959
2025-06-25,Amazon Elastic Load Balancing,4.3258591161
2025-06-25,Amazon Elastic MapReduce,51.2238914872
2025-06-25,Amazon Glacier,4.2e-08
2025-06-25,Amazon GuardDuty,15.2848469799
2025-06-25,Amazon Kinesis,0.8000786808
2025-06-25,Amazon Kinesis Firehose,0.1277659379
2025-06-25,Amazon Neptune,8.54406e-05
2025-06-25,Amazon OpenSearch Service,3.0081618046
2025-06-25,Amazon Quantum Ledger Database,2.1e-07
2025-06-25,Amazon QuickSight,12.2010001029
2025-06-25,Amazon Redshift,51.2928297103
2025-06-25,Amazon Relational Database Service,13.9121854963
2025-06-25,Amazon Route 53,0.1965108554
2025-06-25,Amazon Simple Email Service,0.0184412125
2025-06-25,Amazon Simple Notification Service,1.0308864787
2025-06-25,Amazon Simple Queue Service,3.1204034563
2025-06-25,Amazon Simple Storage Service,72.7550615192
2025-06-25,Amazon Simple Workflow Service,1.212e-07
2025-06-25,Amazon Timestream,9.2998733352
2025-06-25,Amazon Virtual Private Cloud,10.7306160544
2025-06-25,AmazonCloudWatch,59.293124027
2025-06-25,CloudWatch Events,0.02149451
